method,metric,winning_seeds
minmax,L1,"3085411477, 763005181"
minmax,L2,"1997469570, 3085411477, 3258662126, 405613520, 4132422725, 763005181"
minmax,Linf,"1031568831, 1055009509, 1189190814, 1190732529, 1340697042, 134111210, 134274876, 1404859537, 1460112971, 15798197, 1616306678, 16272035, 1636046940, 1642006283, 1682221226, 1703385722, 1754557034, 1822846614, 1877916094, 1950433868, 1997469570, 201620534, 2097470373, 2145329806, 2167202709, 218880459, 2197781866, 2218447401, 2224371117, 2382592418, 2442274353, 2524911424, 2650634895, 2667805665, 2705767581, 2712988090, 2721068329, 2738370433, 2766402030, 27862491, 2873949162, 2939055350, 3012540081, 3085411477, 3136852268, 3204097037, 3207412202, 3240851275, 3258662126, 3282625245, 3340704268, 3345093940, 3366098348, 3447607971, 3554909790, 3560521355, 3574825580, 3583735596, 3594464844, 3599721206, 3649438908, 3658565796, 3678242581, 374476681, 3751492680, 3760746147, 3781882684, 3832984059, 3888962705, 3917887245, 3942865955, 3987278073, 4039556774, 405613520, 4132422725, 4211700419, 4238200503, 4256230758, 445089174, 453469801, 554034286, 554056980, 605390955, 753890472, 763005181, 833203615, 850991118, 954718556, 974112018"
median,L1,"1031568831, 1055009509, 1189190814, 1190732529, 1340697042, 134111210, 134274876, 1377707911, 1404859537, 1460112971, 15798197, 1616306678, 16272035, 1636046940, 1642006283, 1682221226, 1703385722, 1754557034, 1822846614, 1877916094, 1915102190, 1950433868, 1997469570, 201620534, 2051881261, 2145329806, 2167202709, 218880459, 2218447401, 2224371117, 2442274353, 2524911424, 2650634895, 2667805665, 2705767581, 2712988090, 2721068329, 2738370433, 2766402030, 27862491, 2873949162, 2939055350, 2990350672, 3012540081, 3119473076, 3136852268, 3204097037, 3207412202, 3240851275, 3258662126, 3282625245, 3340704268, 3345093940, 3366098348, 3369757237, 3447607971, 3514936086, 3527980683, 3554909790, 3560521355, 3574825580, 3583735596, 3594464844, 3599721206, 3649438908, 3658565796, 3678242581, 374476681, 3751492680, 3760746147, 3781882684, 3832984059, 3917887245, 3942865955, 3987278073, 4039556774, 405613520, 4069432816, 4211700419, 4238200503, 4256230758, 4269694578, 445089174, 453469801, 456872564, 554034286, 554056980, 605390955, 753890472, 833203615, 850991118, 954718556, 974112018"
median,L2,"1031568831, 1404859537, 1616306678, 2667805665, 3119473076, 3527980683, 3599721206, 3832984059, 3987278073, 445089174, 456872564"
median,Linf,"1377707911, 3119473076, 3369757237, 3527980683, 456872564"
single,L1,
single,L2,
single,Linf,
complete,L1,
complete,L2,
complete,Linf,
average,L1,"2097470373, 2197781866, 2382592418, 3888962705, 4132422725"
average,L2,"1055009509, 1189190814, 1190732529, 1340697042, 134111210, 134274876, 1377707911, 1460112971, 15798197, 16272035, 1636046940, 1642006283, 1682221226, 1703385722, 1754557034, 1822846614, 1877916094, 1915102190, 1950433868, 201620534, 2051881261, 2097470373, 2145329806, 2167202709, 218880459, 2197781866, 2218447401, 2224371117, 2382592418, 2442274353, 2524911424, 2650634895, 2705767581, 2712988090, 2721068329, 2738370433, 2766402030, 27862491, 2873949162, 2939055350, 2990350672, 3012540081, 3136852268, 3204097037, 3207412202, 3240851275, 3282625245, 3340704268, 3345093940, 3366098348, 3369757237, 3447607971, 3514936086, 3554909790, 3560521355, 3574825580, 3583735596, 3594464844, 3649438908, 3658565796, 3678242581, 374476681, 3751492680, 3760746147, 3781882684, 3888962705, 3917887245, 3942865955, 4039556774, 4069432816, 4211700419, 4238200503, 4256230758, 4269694578, 453469801, 554034286, 554056980, 605390955, 753890472, 833203615, 850991118, 954718556, 974112018"
average,Linf,"1915102190, 2051881261, 2990350672, 3514936086, 4069432816, 4269694578"
ward,L1,
ward,L2,
ward,Linf,
