method,metric,winning_seeds
minmax,L1,
minmax,L2,
minmax,Linf,"1007691452, 1049004727, 1150248406, 1188445720, 1197408722, 1223643642, 1257025857, 1307447812, 1308599451, 1437142590, 1455979080, 1509944580, 1566660371, 1627082985, 1630310170, 1646417176, 1672023891, 1686828424, 1790543750, 1937872640, 1951417622, 1977515482, 1986954216, 2040486430, 205050851, 2079503669, 2090422341, 2120630894, 2171201361, 2219631989, 2269541788, 2384535501, 2407230515, 2440523193, 2495638808, 2601532623, 2653205712, 2689143634, 2697341684, 2723088361, 2726199701, 2772986813, 2816918828, 2890318096, 2949511140, 2975648016, 2975958944, 3012973758, 3036176171, 3048596433, 3060497158, 3088086161, 3119979269, 3140076163, 3151019670, 3157459216, 3247186696, 3269479809, 3333827784, 3415100226, 3426782949, 345007765, 3475145905, 3505282575, 354901961, 3587086781, 360308435, 3689902349, 3698004931, 3710047884, 3722096180, 3824609193, 3843409639, 3938234316, 3969359489, 4034621706, 4043004931, 4050882751, 4083342266, 4102134008, 4137303865, 4150226543, 4169482702, 4187690314, 4194119206, 420650713, 4232313027, 4292829755, 460635009, 463425508, 465543323, 471717927, 703415957, 814812317, 839194299, 862407391, 863805738, 894854548, 995811590, 996726395"
median,L1,"1007691452, 1049004727, 1150248406, 1188445720, 1197408722, 1223643642, 1257025857, 1307447812, 1308599451, 1437142590, 1455979080, 1509944580, 1566660371, 1627082985, 1630310170, 1646417176, 1672023891, 1686828424, 1790543750, 1937872640, 1951417622, 1977515482, 1986954216, 2040486430, 205050851, 2079503669, 2090422341, 2120630894, 2171201361, 2219631989, 2269541788, 2384535501, 2407230515, 2440523193, 2495638808, 2601532623, 2653205712, 2689143634, 2697341684, 2723088361, 2726199701, 2772986813, 2816918828, 2890318096, 2949511140, 2975648016, 2975958944, 3012973758, 3036176171, 3048596433, 3060497158, 3088086161, 3119979269, 3140076163, 3151019670, 3157459216, 3247186696, 3269479809, 3333827784, 3415100226, 3426782949, 345007765, 3475145905, 3505282575, 354901961, 3587086781, 360308435, 3689902349, 3698004931, 3710047884, 3722096180, 3824609193, 3843409639, 3938234316, 3969359489, 4034621706, 4043004931, 4050882751, 4083342266, 4102134008, 4137303865, 4150226543, 4169482702, 4187690314, 4194119206, 420650713, 4232313027, 4292829755, 460635009, 463425508, 465543323, 471717927, 703415957, 814812317, 839194299, 862407391, 863805738, 894854548, 995811590, 996726395"
median,L2,
median,Linf,
single,L1,
single,L2,
single,Linf,
complete,L1,
complete,L2,
complete,Linf,
average,L1,
average,L2,"1007691452, 1049004727, 1150248406, 1188445720, 1197408722, 1223643642, 1257025857, 1307447812, 1308599451, 1437142590, 1455979080, 1509944580, 1566660371, 1627082985, 1630310170, 1646417176, 1672023891, 1686828424, 1790543750, 1937872640, 1951417622, 1977515482, 1986954216, 2040486430, 205050851, 2079503669, 2090422341, 2120630894, 2171201361, 2219631989, 2269541788, 2384535501, 2407230515, 2440523193, 2495638808, 2601532623, 2653205712, 2689143634, 2697341684, 2723088361, 2726199701, 2772986813, 2816918828, 2890318096, 2949511140, 2975648016, 2975958944, 3012973758, 3036176171, 3048596433, 3060497158, 3088086161, 3119979269, 3140076163, 3151019670, 3157459216, 3247186696, 3269479809, 3333827784, 3415100226, 3426782949, 345007765, 3475145905, 3505282575, 354901961, 3587086781, 360308435, 3689902349, 3698004931, 3710047884, 3722096180, 3824609193, 3843409639, 3938234316, 3969359489, 4034621706, 4043004931, 4050882751, 4083342266, 4102134008, 4137303865, 4150226543, 4169482702, 4187690314, 4194119206, 420650713, 4232313027, 4292829755, 460635009, 463425508, 465543323, 471717927, 703415957, 814812317, 839194299, 862407391, 863805738, 894854548, 995811590, 996726395"
average,Linf,
ward,L1,
ward,L2,
ward,Linf,
