method,metric,winning_seeds
minmax,L1,"1033057636, 1318513934, 1343142647, 1438205819, 1712974989, 1815091420, 1851629854, 1904368883, 191481978, 1971216273, 2185905808, 2485552052, 2956949470, 2999250064, 3084752595, 3245161594, 3352212796, 3383105022, 3513002298, 426186262, 435428964, 479630724, 89384239, 902250534"
minmax,L2,"1033057636, 1343142647, 1712974989, 1815091420, 1851629854, 1904368883, 1971216273, 2185905808, 2485552052, 2956949470, 3084752595, 3245161594, 3352212796, 3383105022, 3513002298, 435428964, 479630724, 89384239"
minmax,Linf,"1033057636, 1040611629, 1046223058, 1101888244, 1135852995, 1203977945, 125861881, 1304396355, 1318513934, 1320621013, 1343142647, 1366169203, 1371288493, 1438205819, 149199232, 1598693896, 1630215750, 1698944309, 1712974989, 1815091420, 1851629854, 1904368883, 191481978, 1971216273, 1995884380, 2084016143, 2167818251, 2185905808, 2198885077, 2245737470, 2256573477, 2328319156, 2468335724, 2475821192, 2485552052, 2532200518, 2607100513, 2639247701, 268717243, 2703337200, 2749738847, 2866307022, 2873058735, 2956949470, 2961072488, 2999250064, 3040885749, 3084752595, 3134684829, 3224316702, 323240170, 3245161594, 3314180302, 3352212796, 3370251080, 338157976, 3383105022, 3395603049, 3426083444, 3477671294, 3513002298, 3762053684, 3808690449, 3896783687, 3930312525, 398775571, 4004687927, 4053115505, 4157732939, 4165002233, 426186262, 4294621375, 435428964, 441843536, 448574216, 452290324, 479630724, 504998865, 544224745, 550062204, 555190755, 555778889, 670931184, 687770216, 705772679, 751004438, 762179283, 781757594, 787676070, 794068966, 817931052, 833107913, 847371388, 85404059, 89384239, 902199427, 902250534, 921698431, 97872692, 981167032"
median,L1,"1040611629, 1046223058, 1101888244, 1135852995, 1203977945, 125861881, 1304396355, 1320621013, 1366169203, 1371288493, 149199232, 1598693896, 1630215750, 1698944309, 1995884380, 2084016143, 2167818251, 2245737470, 2256573477, 2328319156, 2468335724, 2475821192, 2532200518, 2607100513, 2639247701, 268717243, 2703337200, 2749738847, 2866307022, 2873058735, 2961072488, 3040885749, 3134684829, 3224316702, 323240170, 3314180302, 3370251080, 338157976, 3395603049, 3426083444, 3477671294, 3762053684, 3808690449, 3896783687, 3930312525, 398775571, 4004687927, 4053115505, 4157732939, 4165002233, 4294621375, 441843536, 448574216, 452290324, 504998865, 544224745, 550062204, 555190755, 555778889, 670931184, 687770216, 705772679, 751004438, 762179283, 787676070, 794068966, 817931052, 833107913, 85404059, 902199427, 921698431, 97872692, 981167032"
median,L2,
median,Linf,
single,L1,
single,L2,
single,Linf,
complete,L1,2198885077
complete,L2,
complete,Linf,
average,L1,"781757594, 847371388"
average,L2,"1040611629, 1046223058, 1101888244, 1135852995, 1203977945, 125861881, 1304396355, 1318513934, 1320621013, 1366169203, 1371288493, 1438205819, 149199232, 1598693896, 1630215750, 1698944309, 191481978, 1995884380, 2084016143, 2167818251, 2198885077, 2245737470, 2256573477, 2328319156, 2468335724, 2475821192, 2532200518, 2607100513, 2639247701, 268717243, 2703337200, 2749738847, 2866307022, 2873058735, 2961072488, 2999250064, 3040885749, 3134684829, 3224316702, 323240170, 3314180302, 3370251080, 338157976, 3395603049, 3426083444, 3477671294, 3762053684, 3808690449, 3896783687, 3930312525, 398775571, 4004687927, 4053115505, 4157732939, 4165002233, 426186262, 4294621375, 441843536, 448574216, 452290324, 504998865, 544224745, 550062204, 555190755, 555778889, 670931184, 687770216, 705772679, 751004438, 762179283, 781757594, 787676070, 794068966, 817931052, 833107913, 847371388, 85404059, 902199427, 902250534, 921698431, 97872692, 981167032"
average,Linf,
ward,L1,
ward,L2,
ward,Linf,
