method,metric,winning_seeds
minmax,L1,
minmax,L2,
minmax,Linf,"1005436874, 1044765057, 1048167945, 1085632127, 113287573, 1174156324, 1174444901, 1206095870, 1300315838, 1319065310, 1355374340, 1385043247, 139101826, 1426279474, 1439632435, 1466489130, 1524055356, 1573624580, 1608063077, 1710375231, 1760440740, 1826472232, 1827852630, 1855448622, 1927550284, 1931750115, 1944881313, 1946606093, 1970989262, 2093484532, 2102886020, 221507537, 2268099499, 229317156, 2296517798, 2306517741, 238352199, 2399215142, 2440001075, 2442788721, 24717271, 2632935205, 2674908744, 2696410401, 2824657648, 2857207392, 2887195938, 2904114033, 2927496772, 2939632517, 3022504145, 3049733469, 3075265528, 3123883958, 3128492814, 3142442964, 31668958, 3193006388, 3202273182, 3210144892, 3227553721, 3228812200, 326208054, 3292446277, 3297273196, 3319015584, 3410936098, 3436515696, 3541136167, 3590110656, 3688613573, 3704694048, 3729308965, 3741086229, 3819740710, 3845802530, 3871125926, 3881302238, 3884089160, 3884272578, 3887677487, 3919050160, 3924871294, 3960485305, 3992640669, 406924368, 4082135932, 4168023667, 4174612590, 4214196220, 4285725478, 437963867, 440659576, 554181876, 589934655, 626871813, 744643154, 768175984, 888478170"
median,L1,"1005436874, 1044765057, 1048167945, 1085632127, 113287573, 1174156324, 1174444901, 1206095870, 1300315838, 1319065310, 1355374340, 1385043247, 139101826, 1426279474, 1466489130, 1524055356, 1573624580, 1608063077, 1710375231, 1826472232, 1827852630, 1855448622, 1927550284, 1931750115, 1944881313, 1946606093, 2093484532, 2102886020, 221507537, 2268099499, 229317156, 2296517798, 2306517741, 238352199, 2399215142, 2440001075, 2442788721, 24717271, 2632935205, 2674908744, 2696410401, 2824657648, 2857207392, 2887195938, 2904114033, 2927496772, 2939632517, 3022504145, 3049733469, 3075265528, 3123883958, 3128492814, 3142442964, 31668958, 3193006388, 3202273182, 3210144892, 3227553721, 3228812200, 326208054, 3292446277, 3297273196, 3319015584, 3436515696, 3541136167, 3590110656, 3661704374, 3688613573, 3704694048, 3729308965, 3741086229, 3819740710, 3845802530, 3871125926, 3881302238, 3884089160, 3884272578, 3887677487, 3919050160, 3924871294, 3960485305, 3992640669, 406924368, 4082135932, 4168023667, 4174612590, 4214196220, 4285725478, 437963867, 440659576, 554181876, 589934655, 626871813, 744643154, 768175984, 888478170"
median,L2,
median,Linf,
single,L1,
single,L2,
single,Linf,
complete,L1,
complete,L2,
complete,Linf,
average,L1,"1439632435, 1760440740, 1970989262, 3410936098"
average,L2,"1005436874, 1044765057, 1048167945, 1085632127, 113287573, 1174156324, 1174444901, 1206095870, 1300315838, 1319065310, 1355374340, 1385043247, 139101826, 1426279474, 1439632435, 1466489130, 1524055356, 1573624580, 1608063077, 1710375231, 1760440740, 1826472232, 1827852630, 1855448622, 1927550284, 1931750115, 1944881313, 1946606093, 1970989262, 2093484532, 2102886020, 221507537, 2268099499, 229317156, 2296517798, 2306517741, 238352199, 2399215142, 2440001075, 2442788721, 24717271, 2632935205, 2674908744, 2696410401, 2824657648, 2857207392, 2887195938, 2904114033, 2927496772, 2939632517, 3022504145, 3049733469, 3075265528, 3123883958, 3128492814, 3142442964, 31668958, 3193006388, 3202273182, 3210144892, 3227553721, 3228812200, 326208054, 3292446277, 3297273196, 3319015584, 3410936098, 3436515696, 3541136167, 3590110656, 3661704374, 3688613573, 3704694048, 3729308965, 3741086229, 3819740710, 3845802530, 3871125926, 3881302238, 3884089160, 3884272578, 3887677487, 3919050160, 3924871294, 3960485305, 3992640669, 406924368, 4082135932, 4168023667, 4174612590, 4214196220, 4285725478, 437963867, 440659576, 554181876, 589934655, 626871813, 744643154, 768175984, 888478170"
average,Linf,3661704374
ward,L1,
ward,L2,
ward,Linf,
