method,metric,winning_seeds
minmax,L1,"1198053860, 141319446, 145386224, 1462893797, 159817257, 1808428233, 1917558622, 1959460868, 1975603795, 2031097850, 2054588201, 2156274836, 2271483837, 2272872265, 265346206, 2669630039, 2689570944, 2700602877, 2779256226, 2885111920, 2935148992, 2939364560, 3019410956, 3221297016, 3337592575, 3366036895, 3527612660, 3614044329, 3837811985, 3908488701, 3987687891, 4000693280, 4037511954, 4054277092, 4071480447, 4117944137, 4124628918, 4179478004, 4230200595, 423784757, 4256685542, 4266648572, 4277666723, 447207840, 471115568, 741663389, 836108620, 979367702"
minmax,L2,"1468745540, 159817257, 1808428233, 1959460868, 2156274836, 2271483837, 2669630039, 2700602877, 2933326794, 3019410956, 3527612660, 3987687891, 4054277092, 471115568, 979367702"
minmax,Linf,"1000026605, 1041109144, 1184375755, 1198053860, 1230034006, 1314148405, 1339410644, 1401198932, 141319446, 1430171395, 143723359, 1437383708, 145386224, 1462893797, 1462951246, 1468745540, 1476834158, 159817257, 1647529048, 1677922895, 1744375194, 1748702286, 1782492592, 1804479980, 1808428233, 1835817590, 1864504889, 1917558622, 1959460868, 1975603795, 2031097850, 2054588201, 2156274836, 2255334172, 2271483837, 2271495944, 2272872265, 2319452707, 264644653, 2650485764, 265346206, 2655981714, 2669630039, 2689570944, 2700602877, 2731745117, 2779256226, 2821784185, 2885111920, 2900051467, 2933326794, 2935148992, 2939364560, 3019410956, 3104897670, 3130450749, 3180647734, 3221297016, 3337592575, 3366036895, 3368120479, 3375388528, 3413850270, 3478850305, 3495177735, 3527612660, 3577882464, 3614044329, 3654079794, 3766998749, 378295480, 3837811985, 3908488701, 3987687891, 4000693280, 4037511954, 4047956054, 4054277092, 4071480447, 4117944137, 4124628918, 4179478004, 4209120765, 4230200595, 423784757, 4256685542, 4266648572, 4277666723, 4281531952, 441337775, 447207840, 471115568, 581973160, 669620327, 688887871, 741663389, 766876377, 836108620, 979367702"
median,L1,"1041109144, 1184375755, 1230034006, 1314148405, 1339410644, 1401198932, 1430171395, 1437383708, 1462951246, 1476834158, 1647529048, 1677922895, 1744375194, 1782492592, 1804479980, 1835817590, 1864504889, 2255334172, 2271495944, 2319452707, 264644653, 2650485764, 2655981714, 2731745117, 2821784185, 2900051467, 2933326794, 3104897670, 3130450749, 3180647734, 3368120479, 3375388528, 3413850270, 3478850305, 3495177735, 3577882464, 3654079794, 3766998749, 378295480, 4047956054, 4209120765, 4281531952, 441337775, 567115805, 581973160, 669620327, 688887871, 766876377"
median,L2,"1476834158, 3180647734, 423784757, 567115805, 581973160"
median,Linf,
single,L1,
single,L2,
single,Linf,
complete,L1,"1000026605, 143723359, 1468745540"
complete,L2,
complete,Linf,
average,L1,1748702286
average,L2,"1000026605, 1041109144, 1184375755, 1198053860, 1230034006, 1314148405, 1339410644, 1401198932, 141319446, 1430171395, 143723359, 1437383708, 145386224, 1462893797, 1462951246, 1647529048, 1677922895, 1744375194, 1748702286, 1782492592, 1804479980, 1835817590, 1864504889, 1917558622, 1975603795, 2031097850, 2054588201, 2255334172, 2271495944, 2272872265, 2319452707, 264644653, 2650485764, 265346206, 2655981714, 2689570944, 2731745117, 2779256226, 2821784185, 2885111920, 2900051467, 2935148992, 2939364560, 3104897670, 3130450749, 3221297016, 3337592575, 3366036895, 3368120479, 3375388528, 3413850270, 3478850305, 3495177735, 3577882464, 3614044329, 3654079794, 3766998749, 378295480, 3837811985, 3908488701, 4000693280, 4037511954, 4047956054, 4071480447, 4117944137, 4124628918, 4179478004, 4209120765, 4230200595, 4256685542, 4266648572, 4277666723, 4281531952, 441337775, 447207840, 669620327, 688887871, 741663389, 766876377, 836108620"
average,Linf,567115805
ward,L1,
ward,L2,
ward,Linf,
